keys,ja,en,zh_CN
UI_TAB_WORK,Work,Work,工作
UI_TAB_ROOM,Room,Room,房间
UI_TAB_SHOP,Shop,Shop,商店
UI_TAB_STATUS,Status,Status,状态
UI_CURRENCY_FMT,¥ %s,¥ %s,¥ %s
UI_PRESTIGE_FMT,💎 %s,💎 %s,💎 %s
UI_PER_SEC_FMT,%s / sec,%s / sec,%s / 秒
UI_CLICK_POWER_FMT,+%s / click,+%s / click,+%s / 点击
STATUS_TITLE,ステータス,Status,状态
STATUS_TRUST_FMT,信頼度 %d,Trust %d,信赖度 %d
STATUS_INTIMACY_FMT,親密度 %d,Intimacy %d,亲密度 %d
STATUS_AROUSAL_FMT,発情度 %d,Arousal %d,兴奋度 %d
WORK_CLICK_BUTTON,CLICK!,CLICK!,点击！
WORK_UPGRADE_TITLE,アップグレード,Upgrades,强化
WORK_UPGRADE_BUY_BUTTON,購入する,Purchase,购买
WORK_UPGRADE_LV_FMT,Lv.%d,Lv.%d,Lv.%d
WORK_UPGRADE_LV_MAX_FMT,Lv.%d / MAX,Lv.%d / MAX,Lv.%d / 满
WORK_UPGRADE_COST_FMT,¥ %s,¥ %s,¥ %s
WORK_UPGRADE_COST_MAX,—— MAX ——,—— MAX ——,—— 已满 ——
WORK_UPGRADE_EFFECT_CLICK,+%s / クリック,+%s / click,+%s / 点击
WORK_UPGRADE_EFFECT_SEC,+%s / 秒,+%s / s,+%s / 秒
WORK_UPGRADE_EFFECT_MULT,クリック ×%s,Click ×%s,点击 ×%s
WORK_UPGRADE_STATS_PER_LV,Lvあたり,Per level,每级
WORK_UPGRADE_STATS_TOTAL,合計貢献,Total contribution,总贡献
WORK_UPGRADE_STATS_INVESTED,累計投資,Total invested,累计投资
WORK_UPGRADE_STATS_NEXT_COST,次Lvコスト,Next level cost,下级费用
WORK_UPGRADE_STATS_SHORT,あと ¥%s で購入可,Need ¥%s more,还差 ¥%s 可购买
WORK_UPGRADE_STATS_AFFORD,購入可能！,Affordable!,可购买！
WORK_UPGRADE_RARITY_COMMON,コモン,Common,普通
WORK_UPGRADE_RARITY_RARE,レア,Rare,稀有
WORK_UPGRADE_RARITY_EPIC,エピック,Epic,史诗
WORK_UPGRADE_RARITY_LEGENDARY,レジェンダリー,Legendary,传说
WORK_STICKY_HEADING,次の目標,Next goal,下个目标
WORK_STICKY_ALL_MAX,全 MAX 達成！,All maxed!,全部满级！
UI_TAB_META,Prestige,Prestige,源石
META_PILLAR_AFFINITY,💞 親愛,💞 Affinity,💞 亲爱
META_PILLAR_ECONOMY,💰 効率,💰 Economy,💰 效率
META_PILLAR_CATALOG,🎁 開放,🎁 Catalog,🎁 解锁
META_TAB_TITLE,プレステージ強化,Prestige Upgrades,源石强化
META_BUY_BUTTON,獲得する,Acquire,获取
META_COST_FMT,💎 %s,💎 %s,💎 %s
META_LV_FMT,Lv.%d,Lv.%d,Lv.%d
META_LV_MAX_FMT,Lv.%d / MAX,Lv.%d / MAX,Lv.%d / 满
META_CURRENCY_LABEL,💎 源石片: %s,💎 Originium Shards: %s,💎 源石碎片: %s
META_LOCKED_HINT,累計 ¥100,000 稼ぐとプレステージ解放,Earn ¥100,000 total to unlock Prestige,累计赚取 ¥100,000 解锁源石转生
